severity,recipe_id,title,category,issue_code,where,evidence,suggested_fix,updated_at
P0,99a47e37-e870-4cde-9ab0-57a6982a57ab,Adaptogen Energy Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.466531
P0,27d99221-5658-47a3-be79-92e31c4b19a1,Adaptogenic Herbal Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.467843
P0,2c12a63c-8882-4404-99c1-e1f5d3da73d5,Adrenal Recovery Meal,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.469187
P0,88e08ad6-771a-497b-a226-b64019763ed2,African Savanna Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.471074
P0,5e2eae5d-7109-4bae-9bfb-9cb6aa9eb713,Almond Energy Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.475652
P0,da02b963-b1f6-46dd-91a9-68ad220cfa3d,Almond Flour Flatbread,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.477291
P0,19eecec6-c511-4530-ab3d-e8d477b0c42b,Almond-oat thin crust with rainbow veggies,pizza,STEP_GHOST_ING,instructions,Instructions mention 'cheese' not in ingredients,Add cheese to ingredients or remove from instructions,2025-10-03T01:38:57.481745
P0,19eecec6-c511-4530-ab3d-e8d477b0c42b,Almond-oat thin crust with rainbow veggies,pizza,FORBIDDEN_INGREDIENT,ingredients+instructions (flour),Recipe contains forbidden flour: wheat flour,"Replace with low-GI alternative: almond flour, oat flour",2025-10-03T01:38:57.481751
P0,d4246e5c-91cf-48ac-9ab2-12a86a0502da,Andean Mountain Meal,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.490045
P0,d4246e5c-91cf-48ac-9ab2-12a86a0502da,Andean Mountain Meal,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),"Recipe contains forbidden potato: potato, potatoes","Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.490058
P0,ab18a23a-181a-493a-8947-56a546a5acc3,Apple Slices with Almond Butter,snack,STEP_GHOST_ING,instructions,Instructions mention 'butter' not in ingredients,Add butter to ingredients or remove from instructions,2025-10-03T01:38:57.494839
P0,718e6c3a-2e24-49a3-9648-d2f74340aa36,Argentinian Empanadas,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.498884
P0,6b4b1358-ef82-421f-96dd-08c449aca1d2,Athletic Performance Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.511913
P0,cd37f25f-30b1-46f1-a847-f4a059f41386,Authentic Trinidad Callaloo,soup,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.517342
P0,e1d669ac-9e41-40fa-a452-cddff84ac6ff,Avocado Toast on Ezekiel Bread,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),"Recipe contains forbidden bread: bread, toast","Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.522041
P0,1b13adf3-31fc-49f1-84da-9e3ba6725479,Biophoton Energy Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.546899
P0,af98c409-5fe1-433d-820d-3fb391da7ecc,Black Bean and Millet Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),"Recipe contains forbidden potato: potato, potatoes","Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.549237
P0,f4a8b1d9-68ed-4395-bfab-809f4a786704,Bowl of Goodness,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.559098
P0,2db6620a-a19a-4706-8632-7637411367a9,Brazilian Feijoada,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.563472
P0,acc96b7b-4a11-436f-8fc0-0dbf1144de77,Brazilian Moqueca,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.565395
P0,aa171eab-a06d-4433-a4f1-309d6fcc8440,Breakfast Burrito,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.570453
P0,d9c0331d-4979-4c0e-bf97-eb63b2f5029c,Breakfast Salad Bowl,breakfast,STEP_GHOST_ING,instructions,Instructions mention 'cheese' not in ingredients,Add cheese to ingredients or remove from instructions,2025-10-03T01:38:57.596308
P0,4a3a88cd-4949-489f-afce-918ad9ad0c22,Breakfast Wrap,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.606655
P0,03654630-1593-4da1-8fd2-93c5a2cf47ec,Broccoli-flax crust pizza,pizza,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.609558
P0,ef1aa32d-a0be-4a24-841d-d0b3eee8024f,Broccoli-flax crust with extra-lean ground beef,pizza,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.611374
P0,9eff3a5c-477f-4c9e-ba46-3065b847a676,Buddha Power Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.619383
P0,c9588639-a278-4dce-8d0b-061f237d830c,Carbon Negative Dinner,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.626926
P0,e0e40acd-befa-4c98-bc0d-cc50da074a35,Carbon Sequestration Feast,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potatoes,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.628220
P0,1e3a1aa6-1d50-4cc4-bb17-776fba3518cb,Cauliflower Fried Rice,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.635502
P0,f47c745c-394e-42c6-822b-549ea0e92b38,Cauliflower Rice,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.643107
P0,bcca4897-235e-4084-ba31-dcdf875befca,Cauliflower Rice Bowl,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.645339
P0,8a43d901-0b10-42bb-94f0-e7821f271f5f,Cauliflower Rice Stir-Fry,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.647604
P0,cae09950-c423-45cf-8ee8-57e5cba4a34f,Cauliflower-flax crust with BBQ chicken,pizza,STEP_GHOST_ING,instructions,"Instructions mention 'cheese, rice' not in ingredients","Add cheese, rice to ingredients or remove from instructions",2025-10-03T01:38:57.652787
P0,20119874-a117-443d-97b5-a1b8cfa7a108,Cauliflower-flax crust with roasted veggies,pizza,FORBIDDEN_INGREDIENT,ingredients+instructions (flour),Recipe contains forbidden flour: wheat flour,"Replace with low-GI alternative: almond flour, oat flour",2025-10-03T01:38:57.654681
P0,48758eee-8216-45cc-bbcc-86c53912f096,Chia Seed Crackers,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),"Recipe contains forbidden bread: roll, bagel","Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.665865
P0,2d9cb543-a162-4b67-b280-c40f2152737e,Chicken Enchiladas,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.672499
P0,59ac181c-9c92-4cd6-b7f2-baf198d27d10,Chicken Shawarma Bowl,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.678842
P0,2d452da9-43cc-41ba-86cd-5c8f4115beda,Chickpea Salad Sandwich,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.692152
P0,2d452da9-43cc-41ba-86cd-5c8f4115beda,Chickpea Salad Sandwich,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),"Recipe contains forbidden bread: bread, toast","Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.692158
P0,4e0f6680-c959-4c9b-ab69-0694ba04bd2e,Chinese Fried Rice,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.703420
P0,619fdb7d-d7ab-422d-be8b-5d53ca8dff00,Chinese Sweet and Sour,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.708465
P0,371fa83c-b837-44cc-ae96-41df4188aa8a,Cinnamon Spice Almond Flour Cookies,dessert,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.721963
P0,019aba6c-f26d-4733-a9fc-e5e6cb9c7771,Circadian Rhythm Meal,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.726058
P0,948dfc69-1cf5-4f0a-a5a7-67484dc2f516,Classic Vanilla Almond Flour Cookies,dessert,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.732291
P0,68685485-871e-41a3-86e7-c6963dc973d3,Coconut Date Balls,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.736323
P0,9878b3c7-f280-4e4f-97b7-f6e966561794,Coconut-flour crust with pesto & mushrooms,pizza,FORBIDDEN_INGREDIENT,ingredients+instructions (flour),Recipe contains forbidden flour: wheat flour,"Replace with low-GI alternative: almond flour, oat flour",2025-10-03T01:38:57.740199
P0,3fea45ff-c7ce-4fa8-b7d5-3ad32747e4f4,Coconut-flour crust with shredded chicken & veggies,pizza,STEP_GHOST_ING,instructions,Instructions mention 'cheese' not in ingredients,Add cheese to ingredients or remove from instructions,2025-10-03T01:38:57.743010
P0,3fea45ff-c7ce-4fa8-b7d5-3ad32747e4f4,Coconut-flour crust with shredded chicken & veggies,pizza,FORBIDDEN_INGREDIENT,ingredients+instructions (flour),Recipe contains forbidden flour: wheat flour,"Replace with low-GI alternative: almond flour, oat flour",2025-10-03T01:38:57.743017
P0,d238d585-8b29-416d-8b43-4432f9d12430,Collagen Protein Balls,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.745030
P0,74c143e3-06f7-4d9d-9ab7-ceb6c7f5bd12,Cosmic Energy Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.756942
P0,68e3af15-ce16-43a8-abe6-6cd1f5696e58,Creamy Broccoli Soup,soup,STEP_GHOST_ING,instructions,Instructions mention 'cream' not in ingredients,Add cream to ingredients or remove from instructions,2025-10-03T01:38:57.765115
P0,cfe4c81b-51aa-4c71-9d96-974895934c03,Creamy Leek and Turnip Soup,soup,STEP_GHOST_ING,instructions,Instructions mention 'cream' not in ingredients,Add cream to ingredients or remove from instructions,2025-10-03T01:38:57.767328
P0,3e0e098b-99a4-4ec8-aa04-6bb71fb5b783,Cuban Black Bean Bowl,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.772619
P0,8b1ecfda-0b3b-409c-afa1-6c62db6b9589,Curried Chicken with Rice and Dal,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.778379
P0,4dd1f025-9021-414c-8a7a-c987266bc1a8,Desert Oasis Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.784992
P0,ecaba3ee-052f-488f-856b-444b4554c027,Digestive Health Special,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.787780
P0,e88fd251-8221-4e35-938c-2c7049019453,Divine Grace Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.788860
P0,337d0c97-6a5a-4b18-bb8f-c3951123b4a0,Duck Confit Supreme,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potatoes,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.793297
P0,1cf3d39c-c096-4d14-bd07-acb2e208b9ae,Enlightenment Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.811270
P0,03e22536-e809-4930-94d1-45490b7aece9,Fish Tacos with Cabbage Slaw,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.825528
P0,85111fc7-b977-46f0-8332-406bf7877297,Flaxseed & almond crust pizza,pizza,FORBIDDEN_INGREDIENT,ingredients+instructions (flour),Recipe contains forbidden flour: wheat flour,"Replace with low-GI alternative: almond flour, oat flour",2025-10-03T01:38:57.827308
P0,6c857e46-3425-4b57-9fea-043bce93e44b,Fractal Pattern Snack,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.834083
P0,49025c8e-ea10-406f-975f-a219ecefc166,Fresh Spring Rolls,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),"Recipe contains forbidden bread: roll, rolls","Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.842485
P0,fa7a2060-45f1-4385-bbe7-f7822ee897de,Galactic Center Dinner,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.848305
P0,c6e9437a-e6f0-49cc-9bae-6440e67d8c63,Garden Fresh Wrap,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.849402
P0,a69a82e3-ed42-48f2-a824-facec1c1fa64,Greek Stuffed Tomatoes,dinner,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.865775
P0,a0b0557f-53b5-46a0-8851-54bd52d9d841,Greek Yogurt Parfait,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.868376
P0,4f0d9a61-8490-4f20-b757-88e4d0c8da35,Himalayan Breakfast Bowl,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: toast,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.897017
P0,11273ac6-26aa-4247-a921-0cafcf22051b,Hormone Balancing Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.900990
